index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price,latitude,longitude
0,Avinguda del CID,Soternes ,L'Olivereta,100.0,3,1,None,104.0,39.4685471,-0.3979341
6,Avenida de Gaspar Aguilar,La Raiosa ,Jesús,102.0,3,1,None,97.0,39.45652,-0.3901264
9,Carrer de les Alqueríes de Bellver,Benicalap ,Benicalap,83.0,3,1,None,81.0,39.4933228,-0.3961826
10,calle de Planas,En Corts ,Quatre Carreres,77.0,3,1,None,99.0,39.4570166,-0.3704539
11,calle de Jaime Beltrán,La Raiosa ,Jesús,88.0,1,1,None,129.9,39.4565435,-0.3884917
18,Marxalenes,Tormos ,La Saïdia,74.0,3,1,None,95.0,39.4879481,-0.3838063
24,Carrer del Pintor Matarana,Benicalap ,Benicalap,97.0,3,1,None,89.9,39.4944521,-0.3912185
29,calle Peris Celda,Ciutat Fallera ,Benicalap,73.0,3,1,None,45.0,39.4983442,-0.3944335
1,Carrer de Pedro Cabanes,Torrefiel ,Rascanya,58.0,3,1,None,65.0,39.4953518,-0.3726184
4,Marchalenes,Tormos ,La Saïdia,70.0,3,1,None,67.0,39.4880691,-0.3844424
8,calle de Alabau,El Forn d'Alcedo ,Pobles del Sud,93.0,3,2,None,108.0,39.4329255,-0.3758457
15,Avenida Amado Granell Mesado 'Militar,La Punta ,Quatre Carreres,80.0,3,1,None,117.0,39.4597989,-0.3655051
16,calle calle San Juan de La Peña,Orriols ,Rascanya,82.0,2,1,None,75.0,39.4956023,-0.3691913
17,Avenida de la Constitución,Sant Llorenç ,Rascanya,90.0,4,1,None,88.0,39.4931431,-0.3732987
18,calle de Calarredes,Les Tendetes ,Campanar,65.0,3,1,None,85.0,39.4825033,-0.3845419
22,calle de Berenguer Mallol,Aiora ,Camins al Grau,70.0,3,1,None,90.0,39.4643222,-0.3421124
23,calle Carrer del Mestre Asensi,Nou Moles ,L'Olivereta,70.0,3,1,None,79.9,39.4714798,-0.3946911
24,calle de Loriguilla,Benicalap ,Benicalap,88.0,2,1,None,83.0,39.4900783,-0.3864221
26,Carrer de Sant Joan Bosco,Orriols ,Rascanya,49.0,2,1,None,55.0,39.4974577,-0.3692689
28,calle de Carcagente,La Raiosa ,Jesús,75.0,3,1,None,78.9,39.4601937,-0.3865076
0,Carrer de Peníscola,Orriols ,Rascanya,82.0,3,2,None,104.8,39.4908442,-0.3698192
4,calle del Transformador,Benicalap ,Benicalap,75.0,3,1,None,87.0,39.4941524,-0.3933634
6,Malilla,La Punta ,Quatre Carreres,85.0,3,1,None,120.0,39.4491066,-0.3755987
7,Avenida Dausiàs March,Na Rovella ,Quatre Carreres,94.0,4,1,None,105.0,39.4508166,-0.3717962
